product_code,description,stock_qty,avg,total_stock,main_bin,alt_bin_1,alt_bin_2,alt_bin_3,bin_group
134959,SCREWDRIVER STAR BRUNO 150MM HJA/150MM,3.0,19.29,57.87,030,,,,030
134960,SCREWDRIVER FLAT BRUNO 75MM HJB/075MM,4.0,13.89,55.56,030,,,,030
134961,SCREWDRIVER FLAT BRUNO 100MM HJB/100MM,5.0,17.19,85.95,030,,,,030
134963,SCREWDRIVER FLAT BRUNO 150MM HJB/150MM,6.0,19.29,115.74,030,,,,030
134972,BRUNO DIAGONAL PLIERS 20CM T1011F/20CM,1.0,57.49,57.49,030,,,,030
136512,SMASH TORX ALLAN KEY KIT 9'S W20928/AK9,10.0,25.0,250.0,030,,,,030
137515,INGCO HAND TOOL 7PC HKTH10807M,1.0,49.99,49.99,030,,,,030
137605,SMASH CABLE PLIER NIPPERS 250MM,4.0,44.23,176.92,030,,,,030
137606,SMASH CARPENTERS PLIERS 200MM,3.0,35.99,107.97,030,,,,030
121954,HAR CARPENTERS PENCIL 12'S,5.0,16.0,80.0,031,,,,031
123737,MBS SCREWDRIVER SET 6PCS,3.0,54.5,163.5,031,,,,031
128005,HAR HACKSAW PLASTIC HANDLE IBH016,4.0,23.0,92.0,031,,,,031
128333,BRUNO PRECISION SCREWDRIVER SET 8PC,2.0,62.99,125.98,031,,,,031
130263,SDP HAND SPOKE SHAVE MAY136,4.0,65.21,260.85,031,,,,031
132524,HAR WOOD CHISEL SET 4PCS P/HANDLE IBH028,3.0,70.0,210.0,031,,,,031
134973,URBAN MINI PLIER SET 3 PCE T1011H,2.0,89.19,178.38,031,,,,031
135235,INGCO PLIER ANTI RUST 3PC HKPS08311,8.0,97.82,782.56,031,,,,031
136573,TORK 6 IN 1 SCREWDRIVER AND 5M MEASURING,3.0,85.0,255.0,031,,,,031
136779,INGCO PLIER COMPOUND 4PC SET HKCPS5841,1.0,299.99,299.99,031,,,,031
137552,DAS MULTIPURPOSE HAND SAW,1.0,119.7,119.7,031,,,,031
137695,WADFOW POCKET SCREWDRIVER CR-V BIT SET 1,4.0,42.85,171.4,031,,,,031
137704,WADFOW SCREWDRIVER SET 4PC,3.0,32.55,97.65,031,,,,031
137706,WADFOW SCREWDRIVER SET 6PC,1.0,43.67,43.67,031,,,,031
138624,FRAGRAM SPANNER 8PC SET,3.0,89.95,269.85,031,,,,031
138625,FRAGRAM TOOLBOX 70PC KIT,3.0,899.0,2697.0,031,,,,031
138626,FRAGRAM TOOLBOX 154PC KIT,2.0,599.0,1198.0,031,,,,031
104316,HACKSAW -ALUMINIUM FRAME IBH090,3.0,24.13,72.39,032,,,,032
127650,KAKU AXE FIBRE HANDLE 600G IBH088,1.0,65.78,65.78,032,,,,032
128662,TOLSEN HANDSAW 550mm TPR HANDLE TOL31073,2.0,99.95,199.9,032,,,,032
129206,AXE SPLITTER 2BL,1.0,97.24,97.24,032,,,,032
129207,SWISS AXE SPLITTER 4LB AXFGP02,-1.0,192.99,-192.99,032,,,,032
133485,MITRE BOX WITH 300mm BACKSAW 1233YDS,4.0,87.99,351.96,032,,,,032
101582,HARD BOWSAW 750MM BS750,2.0,32.0,64.0,033,,,,033
101584,MBS BOWSAW 530MM 21'',2.0,30.0,60.0,033,,,,033
101588,MBS BOWSAW 600MM 24'',-1.0,32.0,-32.0,033,,,,033
101595,BOWSAW BLADES 530MM,8.0,6.36,50.88,033,,,,033
101596,OKAPI BOWSAW BLADES 600MM,1.0,7.19,7.19,033,,,,033
104839,,29.0,10.0,290.0,033,,,,033
104841,LASHER BOWSAW BLADE 750mm,6.0,31.42,188.56,033,,,,033
120413,LASHER BOWSAW BLADE 600MM,7.0,26.42,184.99,033,,,,033
120809,LASHER BOW SAW BLADE 530MM 50A,10.0,23.0,230.02,033,,,,033
122682,LASHER BOW HACKSAW BLADE ONLY,2.0,43.0,86.0,033,,,,033
123656,SANDVIK BOWSAW BLADE 1067MM,49.0,10.0,490.0,033,,,,033
124016,AGARDO BOWSAW 530MM BSB530I,2.0,6.36,12.72,033,,,,033
132676,MBS BOWSAW 900MM 36'' BS900,2.0,34.0,68.0,033,,,,033
133371,HAR HANDSAW 500MM H/D,3.0,47.0,141.0,033,,,,033
133372,HAR HANDSAW 600MM H/D,2.0,52.91,105.83,033,,,,033
107113,SICKLE POLY HANDLE 35CM SI202A/35CM,24.0,18.99,455.76,034,,,,034
124465,LASHER SHEAR HEDGE KUDU-2145,1.0,249.0,249.0,034,,,,034
124467,LASHER BYPASS SECATEURS M/DUTY-2139,4.0,125.0,500.0,034,,,,034
126466,MBS SOLAR MOLER,1.0,200.0,200.0,034,,,,034
127690,LASHER HOSE SET 5PCE 19mm FG72611,1.0,92.0,92.0,034,,,,034
134980,BRUNO TOPIARY SHEARS STANDARD SS021,1.0,80.59,80.59,034,,,,034
134981,BRUNO TOPIARY SHEARS LOOP HANDLE SS022,3.0,80.59,241.77,034,,,,034
134982,BRUNO TOPIARY SHEARS NOVELL SS023,2.0,109.49,218.98,034,,,,034
134988,BRUNO LOPPER SHEARS CONCORD SS042,1.0,341.79,341.79,034,,,,034
136485,BRUNO GARDEN HAND 5 TOOTH RAKE A024,1.0,32.99,32.99,034,,,,034
138794,LASHER SHEAR LOOPING DELUXE FG02125,2.0,308.0,616.0,034,,,,034
138809,IGH HOSE HANGER WATEX 6039,3.0,23.41,70.23,034,,,,034
